invoice_id,invoice_date,due_date,actual_payment_date,customer_name,city,risk_category,product_category,payment_terms_days,invoice_amount,paid_amount,outstanding,days_overdue,aging_bucket,status,credit_limit,credit_utilization,outstanding_ratio,is_high_risk
INV-04908,2022-04-07,2022-05-07,2022-05-09,NutriCare Plus,Nagpur,Low Risk,Casein Blend,30,25401.86,25401.86,0.0,0,Current,Paid,155000,0.1639,0.0,0
INV-03652,2022-04-07,2022-04-22,2022-06-27,BodyBuild Dist,Delhi,High Risk,Whey Protein,15,35701.78,8509.96,27191.82,66,61-90 days,Partially Paid,165000,0.2164,0.7616,1
INV-03111,2022-04-07,2022-06-06,2022-06-06,ProHealth Wholesale,Pune,Low Risk,Mass Gainer,60,25084.56,25084.56,0.0,0,Current,Paid,130000,0.193,0.0,0
INV-03701,2022-04-08,2022-05-23,2022-05-26,NutriGo Stores,Hyderabad,Low Risk,Plant Protein,45,9877.44,9877.44,0.0,0,Current,Paid,145000,0.0681,0.0,0
INV-03827,2022-04-08,2022-06-07,2022-06-09,NutriGo Stores,Hyderabad,Low Risk,Whey Protein,60,29390.16,29390.16,0.0,0,Current,Paid,145000,0.2027,0.0,0
INV-03086,2022-04-08,2022-06-07,2022-06-07,ProHealth Wholesale,Pune,Low Risk,Whey Protein,60,6140.89,6140.89,0.0,0,Current,Paid,130000,0.0472,0.0,0
INV-01116,2022-04-08,2022-04-23,2022-08-28,Protein World Ltd,Mumbai,High Risk,Plant Protein,15,9946.59,0.0,9946.59,127,90+ days,Overdue,95000,0.1047,0.9999,1
INV-04754,2022-04-08,2022-04-23,2022-08-01,ProZone India,Lucknow,High Risk,Creatine,15,7836.79,0.0,7836.79,100,90+ days,Overdue,60000,0.1306,0.9999,1
INV-01686,2022-04-08,2022-05-08,2022-07-28,HealthHub Retail,Chennai,High Risk,Mass Gainer,30,38193.12,8836.89,29356.23,81,61-90 days,Partially Paid,210000,0.1819,0.7686,1
INV-04673,2022-04-08,2022-04-23,2022-07-13,ProZone India,Lucknow,High Risk,Whey Protein,15,15095.69,0.0,15095.69,81,61-90 days,Overdue,60000,0.2516,0.9999,1
INV-04522,2022-04-08,2022-05-23,2022-05-26,EliteSports Dist,Surat,Medium Risk,Creatine,45,24453.23,24453.23,0.0,0,Current,Paid,110000,0.2223,0.0,0
INV-04462,2022-04-08,2022-05-23,2022-08-16,EliteSports Dist,Surat,Medium Risk,Whey Protein,45,17037.57,0.0,17037.57,85,61-90 days,Overdue,110000,0.1549,0.9999,1
INV-04911,2022-04-08,2022-06-07,2022-06-08,NutriCare Plus,Nagpur,Low Risk,Casein Blend,60,12309.67,12309.67,0.0,0,Current,Paid,155000,0.0794,0.0,0
INV-02992,2022-04-09,2022-05-09,2022-08-05,MuscleZone Retail,Chennai,High Risk,Soy Isolate,30,5462.63,0.0,5462.63,88,61-90 days,Overdue,55000,0.0993,0.9998,1
INV-02669,2022-04-09,2022-05-24,2022-05-27,VitaWell Distributors,Ahmedabad,Low Risk,Soy Isolate,45,39888.27,39888.27,0.0,0,Current,Paid,190000,0.2099,0.0,0
INV-04425,2022-04-09,2022-05-24,2022-05-26,SwiftNutrition,Jaipur,Low Risk,Collagen,45,41421.41,41421.41,0.0,0,Current,Paid,175000,0.2367,0.0,0
INV-05479,2022-04-09,2022-05-09,2022-08-16,PowerNutrition Co,Bhopal,High Risk,Creatine,30,15746.97,6569.14,9177.83,99,90+ days,Partially Paid,88000,0.1789,0.5828,1
INV-02463,2022-04-09,2022-05-09,2022-05-09,PowerFit Stores,Delhi,Medium Risk,Mass Gainer,30,29059.49,29059.49,0.0,0,Current,Paid,195000,0.149,0.0,0
INV-02997,2022-04-10,2022-05-10,2022-09-06,MuscleZone Retail,Chennai,High Risk,Creatine,30,12513.73,0.0,12513.73,119,90+ days,Overdue,55000,0.2275,0.9999,1
INV-02014,2022-04-10,2022-05-25,2022-05-27,Apex Nutrition,Hyderabad,Low Risk,Plant Protein,45,27609.89,27609.89,0.0,0,Current,Paid,160000,0.1726,0.0,0
INV-04538,2022-04-10,2022-05-25,2022-07-02,EliteSports Dist,Surat,Medium Risk,Collagen,45,11754.32,0.0,11754.32,38,31-60 days,Overdue,110000,0.1069,0.9999,0
INV-02527,2022-04-10,2022-05-25,2022-05-25,VitaWell Distributors,Ahmedabad,Low Risk,Mass Gainer,45,27415.35,27415.35,0.0,0,Current,Paid,190000,0.1443,0.0,0
INV-03873,2022-04-10,2022-05-25,2022-05-25,NutriGo Stores,Hyderabad,Low Risk,Collagen,45,45300.78,45300.78,0.0,0,Current,Paid,145000,0.3124,0.0,0
INV-04420,2022-04-10,2022-05-10,2022-05-14,SwiftNutrition,Jaipur,Low Risk,Creatine,30,33240.23,33240.23,0.0,0,Current,Paid,175000,0.1899,0.0,0
INV-03939,2022-04-10,2022-05-25,2022-06-22,PeakPerform Co,Mumbai,Medium Risk,BCAA,45,22367.72,0.0,22367.72,28,1-30 days,Overdue,90000,0.2485,1.0,0
INV-03573,2022-04-11,2022-04-26,2022-06-18,BodyBuild Dist,Delhi,High Risk,BCAA,15,12925.68,0.0,12925.68,53,31-60 days,Overdue,165000,0.0783,0.9999,0
INV-01127,2022-04-11,2022-05-11,2022-05-14,Protein World Ltd,Mumbai,High Risk,Plant Protein,30,11703.44,11703.44,0.0,0,Current,Paid,95000,0.1232,0.0,0
INV-02070,2022-04-11,2022-05-11,2022-06-08,Apex Nutrition,Hyderabad,Low Risk,Collagen,30,43164.74,0.0,43164.74,28,1-30 days,Overdue,160000,0.2698,1.0,0
INV-02338,2022-04-12,2022-05-27,2022-05-29,PowerFit Stores,Delhi,Medium Risk,Collagen,45,17597.71,17597.71,0.0,0,Current,Paid,195000,0.0902,0.0,0
INV-02269,2022-04-12,2022-05-12,2022-08-09,SportsFuel India,Mumbai,High Risk,Casein Blend,30,24314.46,8587.22,15727.24,89,61-90 days,Partially Paid,80000,0.3039,0.6468,1
INV-02062,2022-04-12,2022-06-11,2022-06-11,Apex Nutrition,Hyderabad,Low Risk,Casein Blend,60,20942.47,20942.47,0.0,0,Current,Paid,160000,0.1309,0.0,0
INV-01557,2022-04-12,2022-05-27,2022-05-27,NutriMax Wholesale,Bangalore,Medium Risk,Whey Protein,45,42601.99,42601.99,0.0,0,Current,Paid,140000,0.3043,0.0,0
INV-01187,2022-04-12,2022-05-12,2022-08-09,Protein World Ltd,Mumbai,High Risk,Plant Protein,30,29472.16,0.0,29472.16,89,61-90 days,Overdue,95000,0.3102,1.0,1
INV-04109,2022-04-12,2022-05-12,2022-08-02,IronBody Retail,Kolkata,High Risk,BCAA,30,5126.14,1838.69,3287.45,82,61-90 days,Partially Paid,70000,0.0732,0.6412,1
INV-02330,2022-04-13,2022-05-28,2022-06-19,PowerFit Stores,Delhi,Medium Risk,Creatine,45,46897.04,0.0,46897.04,22,1-30 days,Overdue,195000,0.2405,1.0,0
INV-01696,2022-04-13,2022-04-28,2022-07-25,HealthHub Retail,Chennai,High Risk,Casein Blend,15,38699.95,0.0,38699.95,88,61-90 days,Overdue,210000,0.1843,1.0,1
INV-02012,2022-04-13,2022-05-28,2022-05-28,Apex Nutrition,Hyderabad,Low Risk,Mass Gainer,45,46499.82,46499.82,0.0,0,Current,Paid,160000,0.2906,0.0,0
INV-03751,2022-04-13,2022-06-12,2022-06-13,NutriGo Stores,Hyderabad,Low Risk,Soy Isolate,60,25865.98,25865.98,0.0,0,Current,Paid,145000,0.1784,0.0,0
INV-04288,2022-04-13,2022-05-28,2022-05-28,SwiftNutrition,Jaipur,Low Risk,Casein Blend,45,17022.65,17022.65,0.0,0,Current,Paid,175000,0.0973,0.0,0
INV-05684,2022-04-13,2022-05-13,2022-07-14,SupremeNutrition,Coimbatore,Medium Risk,Casein Blend,30,22035.51,0.0,22035.51,62,61-90 days,Overdue,115000,0.1916,1.0,1
INV-01094,2022-04-13,2022-04-28,2022-04-28,Protein World Ltd,Mumbai,High Risk,Whey Protein,15,7492.74,7492.74,0.0,0,Current,Paid,95000,0.0789,0.0,0
INV-05141,2022-04-14,2022-05-29,2022-10-04,FitZone Wholesale,Indore,Medium Risk,Plant Protein,45,34445.61,0.0,34445.61,128,90+ days,Overdue,125000,0.2756,1.0,1
INV-01249,2022-04-14,2022-05-14,2022-09-07,FitLife Distributors,Delhi,High Risk,Mass Gainer,30,41390.29,0.0,41390.29,116,90+ days,Overdue,180000,0.2299,1.0,1
INV-01639,2022-04-14,2022-04-29,2022-05-01,HealthHub Retail,Chennai,High Risk,Collagen,15,12713.81,12713.81,0.0,0,Current,Paid,210000,0.0605,0.0,0
INV-04203,2022-04-14,2022-04-29,2022-08-02,IronBody Retail,Kolkata,High Risk,Whey Protein,15,20844.03,0.0,20844.03,95,90+ days,Overdue,70000,0.2978,1.0,1
INV-03409,2022-04-14,2022-05-29,2022-05-29,FuelUp Nutrition,Mumbai,Medium Risk,Creatine,45,21253.68,21253.68,0.0,0,Current,Paid,85000,0.25,0.0,0
INV-02195,2022-04-14,2022-04-29,2022-08-26,SportsFuel India,Mumbai,High Risk,Creatine,15,3283.32,0.0,3283.32,119,90+ days,Overdue,80000,0.041,0.9997,1
INV-02247,2022-04-14,2022-04-29,2022-08-11,SportsFuel India,Mumbai,High Risk,Creatine,15,5953.21,0.0,5953.21,104,90+ days,Overdue,80000,0.0744,0.9998,1
INV-05566,2022-04-14,2022-06-13,2022-06-13,HealthFirst Retail,Vadodara,Low Risk,Collagen,60,44835.72,44835.72,0.0,0,Current,Paid,170000,0.2637,0.0,0
INV-03366,2022-04-15,2022-05-30,2022-10-06,FuelUp Nutrition,Mumbai,Medium Risk,BCAA,45,4492.9,0.0,4492.9,129,90+ days,Overdue,85000,0.0529,0.9998,1
INV-02410,2022-04-15,2022-05-15,2022-05-17,PowerFit Stores,Delhi,Medium Risk,Plant Protein,30,17968.97,17968.97,0.0,0,Current,Paid,195000,0.0921,0.0,0
INV-04576,2022-04-15,2022-05-15,2022-05-15,EliteSports Dist,Surat,Medium Risk,Collagen,30,12110.12,12110.12,0.0,0,Current,Paid,110000,0.1101,0.0,0
INV-03389,2022-04-15,2022-05-30,2022-06-01,FuelUp Nutrition,Mumbai,Medium Risk,Creatine,45,14709.5,14709.5,0.0,0,Current,Paid,85000,0.1731,0.0,0
INV-02792,2022-04-15,2022-05-30,2022-05-31,ActiveLife Co,Bangalore,Medium Risk,Soy Isolate,45,15776.54,15776.54,0.0,0,Current,Paid,100000,0.1578,0.0,0
INV-03436,2022-04-15,2022-05-15,2022-05-15,FuelUp Nutrition,Mumbai,Medium Risk,Plant Protein,30,25204.39,25204.39,0.0,0,Current,Paid,85000,0.2965,0.0,0
INV-01842,2022-04-15,2022-05-30,2022-06-18,GymPro Supplements,Pune,Medium Risk,BCAA,45,6250.51,0.0,6250.51,19,1-30 days,Overdue,75000,0.0833,0.9998,0
INV-03456,2022-04-16,2022-05-31,2022-05-31,FuelUp Nutrition,Mumbai,Medium Risk,Whey Protein,45,16019.28,16019.28,0.0,0,Current,Paid,85000,0.1885,0.0,0
INV-01830,2022-04-16,2022-05-16,2022-05-20,GymPro Supplements,Pune,Medium Risk,Casein Blend,30,12393.36,12393.36,0.0,0,Current,Paid,75000,0.1652,0.0,0
INV-03171,2022-04-16,2022-05-16,2022-05-16,ProHealth Wholesale,Pune,Low Risk,Collagen,30,11955.12,11955.12,0.0,0,Current,Paid,130000,0.092,0.0,0
INV-02628,2022-04-16,2022-05-16,2022-05-19,VitaWell Distributors,Ahmedabad,Low Risk,Plant Protein,30,52197.25,52197.25,0.0,0,Current,Paid,190000,0.2747,0.0,0
INV-04303,2022-04-16,2022-05-16,2022-05-20,SwiftNutrition,Jaipur,Low Risk,Soy Isolate,30,27125.45,27125.45,0.0,0,Current,Paid,175000,0.155,0.0,0
INV-03320,2022-04-16,2022-05-16,2022-05-16,FuelUp Nutrition,Mumbai,Medium Risk,Casein Blend,30,10104.85,10104.85,0.0,0,Current,Paid,85000,0.1189,0.0,0
INV-04442,2022-04-16,2022-06-15,2022-06-16,SwiftNutrition,Jaipur,Low Risk,Casein Blend,60,55669.98,55669.98,0.0,0,Current,Paid,175000,0.3181,0.0,0
INV-04621,2022-04-16,2022-05-16,2022-06-01,EliteSports Dist,Surat,Medium Risk,Creatine,30,33154.51,0.0,33154.51,16,1-30 days,Overdue,110000,0.3014,1.0,0
INV-01698,2022-04-16,2022-05-16,2022-05-17,HealthHub Retail,Chennai,High Risk,Soy Isolate,30,55559.85,55559.85,0.0,0,Current,Paid,210000,0.2646,0.0,0
INV-01772,2022-04-16,2022-05-01,2022-09-06,HealthHub Retail,Chennai,High Risk,Soy Isolate,15,61030.5,0.0,61030.5,128,90+ days,Overdue,210000,0.2906,1.0,1
INV-01544,2022-04-17,2022-05-17,2022-05-21,NutriMax Wholesale,Bangalore,Medium Risk,Mass Gainer,30,15768.03,15768.03,0.0,0,Current,Paid,140000,0.1126,0.0,0
INV-02905,2022-04-17,2022-05-02,2022-07-16,MuscleZone Retail,Chennai,High Risk,Casein Blend,15,3159.69,1396.4,1763.29,75,61-90 days,Partially Paid,55000,0.0574,0.5579,1
INV-01828,2022-04-17,2022-06-01,2022-08-11,GymPro Supplements,Pune,Medium Risk,Casein Blend,45,15696.06,0.0,15696.06,71,61-90 days,Overdue,75000,0.2093,0.9999,1
INV-05027,2022-04-17,2022-06-01,2022-06-01,NutriCare Plus,Nagpur,Low Risk,Creatine,45,33736.5,33736.5,0.0,0,Current,Paid,155000,0.2177,0.0,0
INV-02288,2022-04-17,2022-05-17,2022-05-17,SportsFuel India,Mumbai,High Risk,Casein Blend,30,18415.13,18415.13,0.0,0,Current,Paid,80000,0.2302,0.0,0
INV-01353,2022-04-17,2022-05-02,2022-05-02,FitLife Distributors,Delhi,High Risk,Whey Protein,15,43732.77,43732.77,0.0,0,Current,Paid,180000,0.243,0.0,0
INV-04419,2022-04-17,2022-06-16,2022-06-16,SwiftNutrition,Jaipur,Low Risk,Mass Gainer,60,19949.98,19949.98,0.0,0,Current,Paid,175000,0.114,0.0,0
INV-03544,2022-04-17,2022-05-17,2022-07-31,BodyBuild Dist,Delhi,High Risk,Soy Isolate,30,10145.37,0.0,10145.37,75,61-90 days,Overdue,165000,0.0615,0.9999,1
INV-03987,2022-04-17,2022-06-01,2022-06-05,PeakPerform Co,Mumbai,Medium Risk,BCAA,45,8575.8,8575.8,0.0,0,Current,Paid,90000,0.0953,0.0,0
INV-01157,2022-04-17,2022-05-17,2022-09-04,Protein World Ltd,Mumbai,High Risk,Collagen,30,16397.07,0.0,16397.07,110,90+ days,Overdue,95000,0.1726,0.9999,1
INV-03311,2022-04-17,2022-05-17,2022-05-20,FuelUp Nutrition,Mumbai,Medium Risk,Whey Protein,30,6565.5,6565.5,0.0,0,Current,Paid,85000,0.0772,0.0,0
INV-03023,2022-04-17,2022-05-17,2022-08-25,MuscleZone Retail,Chennai,High Risk,BCAA,30,4451.81,0.0,4451.81,100,90+ days,Overdue,55000,0.0809,0.9998,1
INV-05043,2022-04-18,2022-06-02,2022-06-02,NutriCare Plus,Nagpur,Low Risk,Collagen,45,12033.23,12033.23,0.0,0,Current,Paid,155000,0.0776,0.0,0
INV-05409,2022-04-18,2022-05-03,2022-08-05,PowerNutrition Co,Bhopal,High Risk,Collagen,15,13404.58,0.0,13404.58,94,90+ days,Overdue,88000,0.1523,0.9999,1
INV-04259,2022-04-18,2022-05-18,2022-08-13,IronBody Retail,Kolkata,High Risk,Soy Isolate,30,19137.06,7526.48,11610.58,87,61-90 days,Partially Paid,70000,0.2734,0.6067,1
INV-05087,2022-04-18,2022-06-02,2022-08-12,FitZone Wholesale,Indore,Medium Risk,Plant Protein,45,29523.25,0.0,29523.25,71,61-90 days,Overdue,125000,0.2362,1.0,1
INV-03787,2022-04-19,2022-06-03,2022-06-03,NutriGo Stores,Hyderabad,Low Risk,Creatine,45,16694.24,16694.24,0.0,0,Current,Paid,145000,0.1151,0.0,0
INV-02157,2022-04-19,2022-05-19,2022-07-29,SportsFuel India,Mumbai,High Risk,Collagen,30,21720.48,0.0,21720.48,71,61-90 days,Overdue,80000,0.2715,1.0,1
INV-02871,2022-04-19,2022-06-03,2022-06-03,ActiveLife Co,Bangalore,Medium Risk,BCAA,45,15521.57,15521.57,0.0,0,Current,Paid,100000,0.1552,0.0,0
INV-01684,2022-04-19,2022-05-19,2022-09-13,HealthHub Retail,Chennai,High Risk,Mass Gainer,30,43192.96,0.0,43192.96,117,90+ days,Overdue,210000,0.2057,1.0,1
INV-04481,2022-04-19,2022-06-03,2022-06-07,EliteSports Dist,Surat,Medium Risk,Creatine,45,24875.75,24875.75,0.0,0,Current,Paid,110000,0.2261,0.0,0
INV-01679,2022-04-19,2022-05-19,2022-08-02,HealthHub Retail,Chennai,High Risk,Mass Gainer,30,13582.3,0.0,13582.3,75,61-90 days,Overdue,210000,0.0647,0.9999,1
INV-01687,2022-04-20,2022-05-20,2022-05-21,HealthHub Retail,Chennai,High Risk,Collagen,30,27679.58,27679.58,0.0,0,Current,Paid,210000,0.1318,0.0,0
INV-01880,2022-04-20,2022-06-04,2022-07-29,GymPro Supplements,Pune,Medium Risk,Mass Gainer,45,13976.9,0.0,13976.9,55,31-60 days,Overdue,75000,0.1864,0.9999,0
INV-05758,2022-04-20,2022-06-04,2022-06-04,SupremeNutrition,Coimbatore,Medium Risk,Plant Protein,45,28480.58,28480.58,0.0,0,Current,Paid,115000,0.2477,0.0,0
INV-01264,2022-04-21,2022-05-21,2022-08-01,FitLife Distributors,Delhi,High Risk,Mass Gainer,30,17184.12,0.0,17184.12,72,61-90 days,Overdue,180000,0.0955,0.9999,1
INV-04236,2022-04-21,2022-05-21,2022-07-30,IronBody Retail,Kolkata,High Risk,BCAA,30,20674.58,0.0,20674.58,70,61-90 days,Overdue,70000,0.2953,1.0,1
INV-02855,2022-04-21,2022-06-05,2022-06-05,ActiveLife Co,Bangalore,Medium Risk,Plant Protein,45,23461.1,23461.1,0.0,0,Current,Paid,100000,0.2346,0.0,0
INV-04048,2022-04-22,2022-05-22,2022-09-10,PeakPerform Co,Mumbai,Medium Risk,Plant Protein,30,18439.73,0.0,18439.73,111,90+ days,Overdue,90000,0.2049,0.9999,1
INV-01404,2022-04-22,2022-06-06,2022-06-06,NutriMax Wholesale,Bangalore,Medium Risk,Soy Isolate,45,12346.74,12346.74,0.0,0,Current,Paid,140000,0.0882,0.0,0
INV-01341,2022-04-22,2022-05-07,2022-08-09,FitLife Distributors,Delhi,High Risk,Mass Gainer,15,53406.3,25811.32,27594.98,94,90+ days,Partially Paid,180000,0.2967,0.5167,1
INV-01174,2022-04-22,2022-05-22,2022-08-02,Protein World Ltd,Mumbai,High Risk,Casein Blend,30,17802.31,4838.58,12963.73,72,61-90 days,Partially Paid,95000,0.1874,0.7282,1
INV-04912,2022-04-22,2022-06-21,2022-06-25,NutriCare Plus,Nagpur,Low Risk,Casein Blend,60,33355.71,33355.71,0.0,0,Current,Paid,155000,0.2152,0.0,0
INV-01386,2022-04-22,2022-06-06,2022-06-06,NutriMax Wholesale,Bangalore,Medium Risk,Plant Protein,45,31511.76,31511.76,0.0,0,Current,Paid,140000,0.2251,0.0,0
INV-04719,2022-04-22,2022-05-22,2022-08-18,ProZone India,Lucknow,High Risk,Mass Gainer,30,15806.24,0.0,15806.24,88,61-90 days,Overdue,60000,0.2634,0.9999,1
INV-03276,2022-04-23,2022-05-23,2022-09-07,FuelUp Nutrition,Mumbai,Medium Risk,BCAA,30,19184.06,0.0,19184.06,107,90+ days,Overdue,85000,0.2257,0.9999,1
INV-04475,2022-04-23,2022-06-07,2022-06-09,EliteSports Dist,Surat,Medium Risk,BCAA,45,28903.17,28903.17,0.0,0,Current,Paid,110000,0.2628,0.0,0
INV-05080,2022-04-23,2022-05-23,2022-05-23,FitZone Wholesale,Indore,Medium Risk,Plant Protein,30,19696.02,19696.02,0.0,0,Current,Paid,125000,0.1576,0.0,0
INV-02479,2022-04-23,2022-05-23,2022-05-23,PowerFit Stores,Delhi,Medium Risk,Whey Protein,30,17450.92,17450.92,0.0,0,Current,Paid,195000,0.0895,0.0,0
INV-03882,2022-04-23,2022-05-23,2022-05-23,PeakPerform Co,Mumbai,Medium Risk,BCAA,30,20891.71,20891.71,0.0,0,Current,Paid,90000,0.2321,0.0,0
INV-04628,2022-04-23,2022-05-23,2022-05-23,EliteSports Dist,Surat,Medium Risk,Mass Gainer,30,19774.85,19774.85,0.0,0,Current,Paid,110000,0.1798,0.0,0
INV-05470,2022-04-23,2022-05-23,2022-08-05,PowerNutrition Co,Bhopal,High Risk,Plant Protein,30,17694.24,0.0,17694.24,74,61-90 days,Overdue,88000,0.2011,0.9999,1
INV-03125,2022-04-23,2022-06-22,2022-06-22,ProHealth Wholesale,Pune,Low Risk,Mass Gainer,60,40483.62,40483.62,0.0,0,Current,Paid,130000,0.3114,0.0,0
INV-02590,2022-04-23,2022-06-22,2022-06-25,VitaWell Distributors,Ahmedabad,Low Risk,Creatine,60,49870.18,49870.18,0.0,0,Current,Paid,190000,0.2625,0.0,0
INV-03173,2022-04-24,2022-06-23,2022-06-27,ProHealth Wholesale,Pune,Low Risk,Whey Protein,60,12216.17,12216.17,0.0,0,Current,Paid,130000,0.094,0.0,0
INV-04618,2022-04-24,2022-05-24,2022-09-19,EliteSports Dist,Surat,Medium Risk,Soy Isolate,30,8429.3,0.0,8429.3,118,90+ days,Overdue,110000,0.0766,0.9999,1
INV-05266,2022-04-24,2022-06-08,2022-08-11,FitZone Wholesale,Indore,Medium Risk,Casein Blend,45,12944.52,0.0,12944.52,64,61-90 days,Overdue,125000,0.1036,0.9999,1
