text,label
"Greetings from Logistics Delta Hub.
Order Details: PUR-9495
*Product Details*
- *Product Name:* Logistics Service Agreement
- *Quantity:* 1569 units
- *Product Name:* Snack Packs (Bulk)
- *Quantity:* 94 units
Delivery: Fulfillment Center Omega, Chennai
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Logistics Delta Hub",Distribution
"Order No: PUR-6029
Subject: Regional Stock Replenishment for Logistics Hub Delta, Hyderabad
This is a purchase request for 2021 units of ""Dairy Milk Packs"".
Shipping Address: Logistics Hub Delta, Hyderabad
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Order No: PUR-6142
Subject: Regional Stock Replenishment for Manufacturing Hub, Mumbai
This is a purchase request for 1550 units of ""Cylindrical Bearing Kit"".
Shipping Address: Manufacturing Hub, Mumbai
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Manufacturing
"Subject: Urgent Order from Chennai Distribution Point
Order Ref: PUR-6595
We would like to place an order for the following ready stock from Evolute.
Items:
* Product Name: Packaged Drinking Water | Quantity: 2139 units
Delivery Address: Fulfillment Center Omega, Chennai
Best, Procurement Manager Chennai Distribution Point",Distribution
"Subject: Production Materials for Unit 4, Chakan MIDC, Plant 1
Order No: PUR-7935
Please process for Unit 4, Chakan MIDC, Plant 1:
- Pneumatic Valve Assembly (Part Number: ID-546) - Qty: 964
Regards, Factory Coordinator",Manufacturing
"Subject: Urgent Order from Chakan MIDC Factory
Order Ref: PUR-6740
We would like to place an order for the following ready stock from Evolute.
Items:
* Product Name: Forged Steel Crankshaft Assembly | Quantity: 1133 units
Delivery Address: Manufacturing Hub, Mumbai
Best, Procurement Manager Chakan MIDC Factory",Manufacturing
"Order No: PUR-5221
Subject: Regional Stock Replenishment for Chennai Regional Warehouse (SR-04)
This is a purchase request for 985 units of ""Regional Hub Supply"".
Shipping Address: Chennai Regional Warehouse (SR-04)
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Subject: Urgent Order from Electronics Trading Point
Order Ref: EVO-PO-8529
We would like to place an order for the following ready stock from Evolute.
Items:
* Product Name: Fingerprint Scanner Module | Quantity: 4279 units
Delivery Address: Electronics Mall Hub, Delhi
Best, Procurement Manager Electronics Trading Point",Trading
"Greetings from Trading Partners Ltd..
Order Details: EVO-PO-8247
*Product Details*
- *Product Name:* Fingerprint Scanner Module
- *Quantity:* 3904 units
- *Product Name:* Mobile POS (mPOS) Device
- *Quantity:* 745 units
Delivery: Warehouse, Mumbai
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Trading Partners Ltd.",Trading
"Greetings from Global Retail Hub.
Order Details: EVO-PO-6623
*Product Details*
- *Product Name:* iPhone 15 Pro Max
- *Quantity:* 1019 units
- *Product Name:* Aadhaar Enabled Biometric Device
- *Quantity:* 1942 units
Delivery: Warehouse, Mumbai
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Global Retail Hub",Trading
"Greetings from Southern Region Warehouse.
Order Details: PUR-2025
*Product Details*
- *Product Name:* Logistics Service Agreement
- *Quantity:* 4008 units
- *Product Name:* Bulk Shipping Container Hub
- *Quantity:* 1257 units
Delivery: Fulfillment Center Omega, Chennai
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Southern Region Warehouse",Distribution
"Order No: PUR-6993
Subject: Regional Stock Replenishment for Sector 18, Pune
This is a purchase request for 2020 units of ""Iron Plates (Part ID: IP-5521)"".
Shipping Address: Sector 18, Pune
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Manufacturing
"Order No: PUR-1820
Subject: Regional Stock Replenishment for Fulfillment Center Omega, Chennai
This is a purchase request for 4004 units of ""Regional Hub Supply"".
Shipping Address: Fulfillment Center Omega, Chennai
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Greetings from Evolute Manufacturing Unit.
Order Details: PUR-7837
*Product Details*
- *Product Name:* Iron Plates (Part ID: IP-5521)
- *Quantity:* 2583 units
- *Product Name:* Cylindrical Bearing Kit
- *Quantity:* 943 units
Delivery: Unit 4, Chakan MIDC, Plant 1
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Evolute Manufacturing Unit",Manufacturing
"Order No: PUR-6780
Subject: Regional Stock Replenishment for Fulfillment Center Omega, Chennai
This is a purchase request for 131 units of ""Dairy Milk Packs"".
Shipping Address: Fulfillment Center Omega, Chennai
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Order No: PUR-5892
Subject: Regional Stock Replenishment for Unit 4, Chakan MIDC, Plant 1
This is a purchase request for 1142 units of ""Iron Support Plates"".
Shipping Address: Unit 4, Chakan MIDC, Plant 1
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Manufacturing
"Greetings from Chakan MIDC Factory.
Order Details: PUR-4437
*Product Details*
- *Product Name:* Hydraulic Cylinder Mount
- *Quantity:* 1846 units
- *Product Name:* Aluminum Housing Block
- *Quantity:* 119 units
Delivery: Sector 18, Pune
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Chakan MIDC Factory",Manufacturing
"Order No: PUR-4479
Subject: Regional Stock Replenishment for Fulfillment Center Omega, Chennai
This is a purchase request for 2767 units of ""Snack Packs (Bulk)"".
Shipping Address: Fulfillment Center Omega, Chennai
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Order No: PUR-9537
Subject: Regional Stock Replenishment for Logistics Hub Delta, Hyderabad
This is a purchase request for 3623 units of ""Dispatch Logistics Route Plan"".
Shipping Address: Logistics Hub Delta, Hyderabad
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Subject: Urgent Order from Global Retail Hub
Order Ref: EVO-PO-3342
We would like to place an order for the following ready stock from Evolute.
Items:
* Product Name: iPhone 15 Pro Max | Quantity: 874 units
Delivery Address: Retail Center Alpha, Mumbai
Best, Procurement Manager Global Retail Hub",Trading
"Greetings from Global Retail Hub.
Order Details: EVO-PO-6486
*Product Details*
- *Product Name:* Samsung Galaxy S24 Ultra
- *Quantity:* 2791 units
- *Product Name:* Aadhaar Enabled Biometric Device
- *Quantity:* 1572 units
Delivery: Warehouse, Mumbai
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Global Retail Hub",Trading
"Greetings from Trading Partners Ltd..
Order Details: EVO-PO-8038
*Product Details*
- *Product Name:* Samsung Galaxy S24 Ultra
- *Quantity:* 3043 units
- *Product Name:* Handheld POS Terminal
- *Quantity:* 1227 units
Delivery: Retail Center Alpha, Mumbai
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Trading Partners Ltd.",Trading
"Order No: PUR-4196
Subject: Regional Stock Replenishment for Chennai Regional Warehouse (SR-04)
This is a purchase request for 4905 units of ""Packaged Drinking Water"".
Shipping Address: Chennai Regional Warehouse (SR-04)
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Order No: PUR-5703
Subject: Regional Stock Replenishment for Manufacturing Hub, Mumbai
This is a purchase request for 700 units of ""Industrial Gear Shaft"".
Shipping Address: Manufacturing Hub, Mumbai
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Manufacturing
"Order No: PUR-6892
Subject: Regional Stock Replenishment for Chennai Regional Warehouse (SR-04)
This is a purchase request for 4719 units of ""Bulk Shipping Container Hub"".
Shipping Address: Chennai Regional Warehouse (SR-04)
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Order No: PUR-2698
Subject: Regional Stock Replenishment for Logistics Hub Delta, Hyderabad
This is a purchase request for 2889 units of ""Dispatch Logistics Route Plan"".
Shipping Address: Logistics Hub Delta, Hyderabad
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Subject: Production Materials for Warehouse, Mumbai
Order No: EVO-PO-8464
Please process for Warehouse, Mumbai:
- Samsung Galaxy S24 Ultra (Part Number: ID-615) - Qty: 1210
Regards, Factory Coordinator",Trading
"Subject: Production Materials for Sector 18, Pune
Order No: PUR-3609
Please process for Sector 18, Pune:
- Machine Bolts (Part ID: MB-7741) (Part Number: ID-644) - Qty: 4773
Regards, Factory Coordinator",Manufacturing
"Order No: PUR-8718
Subject: Regional Stock Replenishment for Logistics Hub Delta, Hyderabad
This is a purchase request for 3382 units of ""Snack Packs (Bulk)"".
Shipping Address: Logistics Hub Delta, Hyderabad
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Order No: PUR-5780
Subject: Regional Stock Replenishment for Unit 4, Chakan MIDC, Plant 1
This is a purchase request for 4538 units of ""Industrial Gear Shaft"".
Shipping Address: Unit 4, Chakan MIDC, Plant 1
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Manufacturing
"Order No: PUR-3377
Subject: Regional Stock Replenishment for Fulfillment Center Omega, Chennai
This is a purchase request for 3680 units of ""Logistics Service Agreement"".
Shipping Address: Fulfillment Center Omega, Chennai
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Greetings from Plant 1, Pune.
Order Details: PUR-8561
*Product Details*
- *Product Name:* Machine Bolts (Part ID: MB-7741)
- *Quantity:* 4738 units
- *Product Name:* Pneumatic Valve Assembly
- *Quantity:* 1269 units
Delivery: Sector 18, Pune
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Plant 1, Pune",Manufacturing
"Order No: PUR-9486
Subject: Regional Stock Replenishment for Chennai Regional Warehouse (SR-04)
This is a purchase request for 4617 units of ""Regional Hub Supply"".
Shipping Address: Chennai Regional Warehouse (SR-04)
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Subject: Production Materials for Retail Center Alpha, Mumbai
Order No: EVO-PO-4619
Please process for Retail Center Alpha, Mumbai:
- POS Payment Terminal (Part Number: ID-655) - Qty: 2466
Regards, Factory Coordinator",Trading
"Greetings from Southern Region Warehouse.
Order Details: PUR-9759
*Product Details*
- *Product Name:* Warehouse Inventory Shift
- *Quantity:* 2030 units
- *Product Name:* Bulk Shipping Container Hub
- *Quantity:* 1081 units
Delivery: Chennai Regional Warehouse (SR-04)
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Southern Region Warehouse",Distribution
"Order No: PUR-1813
Subject: Regional Stock Replenishment for Manufacturing Hub, Mumbai
This is a purchase request for 4154 units of ""Hydraulic Cylinder Mount"".
Shipping Address: Manufacturing Hub, Mumbai
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Manufacturing
"Subject: Urgent Order from Evolute Manufacturing Unit
Order Ref: PUR-5910
We would like to place an order for the following ready stock from Evolute.
Items:
* Product Name: Pneumatic Valve Assembly | Quantity: 116 units
Delivery Address: Manufacturing Hub, Mumbai
Best, Procurement Manager Evolute Manufacturing Unit",Manufacturing
"Order No: PUR-9109
Subject: Regional Stock Replenishment for Fulfillment Center Omega, Chennai
This is a purchase request for 169 units of ""Snack Packs (Bulk)"".
Shipping Address: Fulfillment Center Omega, Chennai
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Greetings from Evolute Manufacturing Unit.
Order Details: PUR-8749
*Product Details*
- *Product Name:* Steel Rods (Part ID: SR-8821)
- *Quantity:* 2451 units
- *Product Name:* Aluminum Housing Block
- *Quantity:* 1000 units
Delivery: Sector 18, Pune
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Evolute Manufacturing Unit",Manufacturing
"Subject: Urgent Order from Global Retail Hub
Order Ref: EVO-PO-3549
We would like to place an order for the following ready stock from Evolute.
Items:
* Product Name: POS Payment Terminal | Quantity: 294 units
Delivery Address: Electronics Mall Hub, Delhi
Best, Procurement Manager Global Retail Hub",Trading
"Subject: Production Materials for Manufacturing Hub, Mumbai
Order No: PUR-4025
Please process for Manufacturing Hub, Mumbai:
- Aluminum Housing Block (Part Number: ID-842) - Qty: 4901
Regards, Factory Coordinator",Manufacturing
"Order No: PUR-2476
Subject: Regional Stock Replenishment for Sector 18, Pune
This is a purchase request for 1591 units of ""Cylindrical Bearing Kit"".
Shipping Address: Sector 18, Pune
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Manufacturing
"Subject: Urgent Order from Zenith Trading Co.
Order Ref: EVO-PO-4316
We would like to place an order for the following ready stock from Evolute.
Items:
* Product Name: Mobile POS (mPOS) Device | Quantity: 617 units
Delivery Address: Electronics Mall Hub, Delhi
Best, Procurement Manager Zenith Trading Co.",Trading
"Greetings from Zenith Trading Co..
Order Details: EVO-PO-8324
*Product Details*
- *Product Name:* ThinkPad L14 Laptop
- *Quantity:* 1074 units
- *Product Name:* Aadhaar Enabled Biometric Device
- *Quantity:* 96 units
Delivery: Retail Center Alpha, Mumbai
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Zenith Trading Co.",Trading
"Order No: PUR-6084
Subject: Regional Stock Replenishment for Logistics Hub Delta, Hyderabad
This is a purchase request for 4127 units of ""Dispatch Logistics Route Plan"".
Shipping Address: Logistics Hub Delta, Hyderabad
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Order No: PUR-8281
Subject: Regional Stock Replenishment for Logistics Hub Delta, Hyderabad
This is a purchase request for 4924 units of ""Logistics Service Agreement"".
Shipping Address: Logistics Hub Delta, Hyderabad
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Subject: Production Materials for Fulfillment Center Omega, Chennai
Order No: PUR-3083
Please process for Fulfillment Center Omega, Chennai:
- Snack Packs (Bulk) (Part Number: ID-528) - Qty: 1822
Regards, Factory Coordinator",Distribution
"Order No: PUR-8520
Subject: Regional Stock Replenishment for Manufacturing Hub, Mumbai
This is a purchase request for 4016 units of ""Steel Rods (Part ID: SR-8821)"".
Shipping Address: Manufacturing Hub, Mumbai
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Manufacturing
"Greetings from Chennai Distribution Point.
Order Details: PUR-6595
*Product Details*
- *Product Name:* Snack Packs (Bulk)
- *Quantity:* 859 units
- *Product Name:* FMCG Drinking Water Bulk Packets
- *Quantity:* 1380 units
Delivery: Chennai Regional Warehouse (SR-04)
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Chennai Distribution Point",Distribution
"Greetings from Logistics Delta Hub.
Order Details: PUR-7631
*Product Details*
- *Product Name:* Warehouse Inventory Shift
- *Quantity:* 4327 units
- *Product Name:* Dispatch Logistics Route Plan
- *Quantity:* 240 units
Delivery: Logistics Hub Delta, Hyderabad
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Logistics Delta Hub",Distribution
"Order No: PUR-7198
Subject: Regional Stock Replenishment for Chennai Regional Warehouse (SR-04)
This is a purchase request for 3776 units of ""Packaged Drinking Water"".
Shipping Address: Chennai Regional Warehouse (SR-04)
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Greetings from Electronics Trading Point.
Order Details: EVO-PO-2294
*Product Details*
- *Product Name:* Mobile POS (mPOS) Device
- *Quantity:* 1409 units
- *Product Name:* Handheld POS Terminal
- *Quantity:* 1520 units
Delivery: Warehouse, Mumbai
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Electronics Trading Point",Trading
"Order No: PUR-3963
Subject: Regional Stock Replenishment for Fulfillment Center Omega, Chennai
This is a purchase request for 2336 units of ""Packaged Drinking Water"".
Shipping Address: Fulfillment Center Omega, Chennai
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Order No: PUR-7799
Subject: Regional Stock Replenishment for Chennai Regional Warehouse (SR-04)
This is a purchase request for 4217 units of ""Logistics Service Agreement"".
Shipping Address: Chennai Regional Warehouse (SR-04)
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Subject: Urgent Order from Global Retail Hub
Order Ref: EVO-PO-7759
We would like to place an order for the following ready stock from Evolute.
Items:
* Product Name: Aadhaar Enabled Biometric Device | Quantity: 1295 units
Delivery Address: Warehouse, Mumbai
Best, Procurement Manager Global Retail Hub",Trading
"Subject: Urgent Order from Electronics Trading Point
Order Ref: EVO-PO-1914
We would like to place an order for the following ready stock from Evolute.
Items:
* Product Name: Handheld POS Terminal | Quantity: 2911 units
Delivery Address: Electronics Mall Hub, Delhi
Best, Procurement Manager Electronics Trading Point",Trading
"Subject: Urgent Order from Southern Region Warehouse
Order Ref: PUR-3179
We would like to place an order for the following ready stock from Evolute.
Items:
* Product Name: Packaged Drinking Water | Quantity: 3456 units
Delivery Address: Fulfillment Center Omega, Chennai
Best, Procurement Manager Southern Region Warehouse",Distribution
"Greetings from Electronics Trading Point.
Order Details: EVO-PO-2160
*Product Details*
- *Product Name:* Samsung Galaxy S24 Ultra
- *Quantity:* 866 units
- *Product Name:* ThinkPad L14 Laptop
- *Quantity:* 1553 units
Delivery: Electronics Mall Hub, Delhi
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Electronics Trading Point",Trading
"Order No: PUR-9404
Subject: Regional Stock Replenishment for Fulfillment Center Omega, Chennai
This is a purchase request for 484 units of ""Dispatch Logistics Route Plan"".
Shipping Address: Fulfillment Center Omega, Chennai
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Subject: Production Materials for Manufacturing Hub, Mumbai
Order No: PUR-6675
Please process for Manufacturing Hub, Mumbai:
- Iron Plates (Part ID: IP-5521) (Part Number: ID-708) - Qty: 3825
Regards, Factory Coordinator",Manufacturing
"Subject: Production Materials for Sector 18, Pune
Order No: PUR-9923
Please process for Sector 18, Pune:
- Forged Steel Crankshaft Assembly (Part Number: ID-671) - Qty: 2132
Regards, Factory Coordinator",Manufacturing
"Order No: PUR-7043
Subject: Regional Stock Replenishment for Chennai Regional Warehouse (SR-04)
This is a purchase request for 77 units of ""FMCG Drinking Water Bulk Packets"".
Shipping Address: Chennai Regional Warehouse (SR-04)
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Subject: Production Materials for Manufacturing Hub, Mumbai
Order No: PUR-5765
Please process for Manufacturing Hub, Mumbai:
- Industrial Gear Shaft (Part Number: ID-808) - Qty: 4952
Regards, Factory Coordinator",Manufacturing
"Order No: PUR-5427
Subject: Regional Stock Replenishment for Fulfillment Center Omega, Chennai
This is a purchase request for 2827 units of ""Logistics Service Agreement"".
Shipping Address: Fulfillment Center Omega, Chennai
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Greetings from Plant 1, Pune.
Order Details: PUR-5940
*Product Details*
- *Product Name:* Aluminum Housing Block
- *Quantity:* 946 units
- *Product Name:* Aluminum Housing Block
- *Quantity:* 1984 units
Delivery: Manufacturing Hub, Mumbai
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Plant 1, Pune",Manufacturing
"Greetings from Zenith Trading Co..
Order Details: EVO-PO-2252
*Product Details*
- *Product Name:* Aadhaar Enabled Biometric Device
- *Quantity:* 2000 units
- *Product Name:* iPhone 15 Pro Max
- *Quantity:* 1338 units
Delivery: Electronics Mall Hub, Delhi
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Zenith Trading Co.",Trading
"Greetings from Evolute Manufacturing Unit.
Order Details: PUR-6756
*Product Details*
- *Product Name:* Aluminum Housing Block
- *Quantity:* 3122 units
- *Product Name:* Pneumatic Valve Assembly
- *Quantity:* 1120 units
Delivery: Manufacturing Hub, Mumbai
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Evolute Manufacturing Unit",Manufacturing
"Order No: PUR-1877
Subject: Regional Stock Replenishment for Logistics Hub Delta, Hyderabad
This is a purchase request for 4144 units of ""Warehouse Inventory Shift"".
Shipping Address: Logistics Hub Delta, Hyderabad
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Order No: PUR-3102
Subject: Regional Stock Replenishment for Fulfillment Center Omega, Chennai
This is a purchase request for 114 units of ""FMCG Drinking Water Bulk Packets"".
Shipping Address: Fulfillment Center Omega, Chennai
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Greetings from Evolute Manufacturing Unit.
Order Details: PUR-2051
*Product Details*
- *Product Name:* Steel Rods (Part ID: SR-8821)
- *Quantity:* 3864 units
- *Product Name:* Forged Steel Crankshaft Assembly
- *Quantity:* 804 units
Delivery: Unit 4, Chakan MIDC, Plant 1
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Evolute Manufacturing Unit",Manufacturing
"Greetings from Zenith Trading Co..
Order Details: EVO-PO-6904
*Product Details*
- *Product Name:* Handheld POS Terminal
- *Quantity:* 3837 units
- *Product Name:* Samsung Galaxy S24 Ultra
- *Quantity:* 1593 units
Delivery: Electronics Mall Hub, Delhi
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Zenith Trading Co.",Trading
